"","playerID","stint","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH"
"255","appieke01",20,414,83,4,8,0,0,0,4,0,0,1,39,0,1,5
"256","aquingr01",6,145,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"257","aquinja01",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"258","aquinlu01",11,222,35,2,4,0,0,0,0,0,0,1,9,0,0,5
"259","araujel01",2,72,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"260","archech01",5,130,20,2,0,0,0,0,0,0,1,1,10,0,0,0
"261","archeji02",2,57,64,2,5,1,0,0,4,0,0,2,19,0,0,6
"262","arciajo01",3,293,615,78,132,24,6,1,35,17,13,29,107,1,9,9
"263","arciaor01",1,55,201,21,44,10,3,4,17,8,0,15,47,0,0,0
"264","arciaos01",13,288,983,103,231,40,6,44,131,3,5,76,339,8,13,0
"265","ardelda01",1,7,4,1,1,0,0,0,0,0,0,1,2,0,0,1
"266","ardizru01",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"267","ardoida01",7,165,423,50,87,17,1,8,35,2,1,42,124,4,13,8
"268","arenano01",4,561,2152,320,613,141,16,111,376,8,9,150,343,25,11,3
"269","arencjp01",6,467,1573,169,333,67,4,80,245,2,3,85,484,4,17,1
"270","ariasal01",11,775,1773,203,470,84,6,18,196,10,5,181,211,14,23,17
"271","ariasal02",5,63,6,0,0,0,0,0,0,0,0,1,5,0,0,0
"272","ariasge01",6,173,480,46,114,18,2,14,55,2,0,25,121,2,2,6
"273","ariasjo01",10,474,1052,112,279,46,11,7,95,13,3,37,150,7,8,12
"274","ariasru01",1,34,4,0,0,0,0,0,0,0,0,0,2,0,0,0
"275","arlicdo01",2,8,3,0,0,0,0,0,0,0,0,0,1,0,0,0
"276","arlinst01",8,141,230,13,32,3,2,0,11,0,0,15,74,0,2,13
"277","armasma01",1,15,31,7,6,2,0,1,1,1,0,1,12,0,1,0
"278","armasto01",14,1432,5164,614,1302,204,39,251,815,18,20,260,1201,37,15,11
"279","armasto02",10,186,268,6,26,2,1,0,10,0,0,4,99,0,0,27
"280","armbred01",5,224,265,46,65,11,6,4,19,15,10,24,71,0,1,9
"281","armstja01",7,153,185,8,21,2,0,0,8,0,0,2,83,0,2,26
