team_name,home_score,home_turnovers,away_score_q5,away_turnovers,first_down_sum,fourth_down_att_sum,fourth_down_conv_sum,passing_first_down_sum,rushing_first_down_sum,third_down_att_sum,third_down_conv_sum,third_down_failed_sum,off_penalty_yds_sum,def_penalty_sum,def_penalty_first_down_sum,def_penalty_yds_sum,first_downs_tot,yards_gained,defense_ast,defense_ffum,defense_frec,defense_frec_tds,defense_frec_yds,defense_int,defense_int_tds,defense_int_yds,defense_pass_def,defense_qbhit,defense_sk,defense_sk_yds,defense_tkl,defense_tkl_loss,defense_tds,fumbles_forced,fumbles_lost,fumbles_oob,fumbles_rec,fumbles_rec_yds,fumbles_tot,kicking_all_yds,kicking_fga,kicking_fgm,kicking_fgm_yds,kicking_fgmissed,kicking_fgmissed_yds,kicking_i20,kicking_tot,kicking_touchback,kicking_xpa,kicking_yds,kickret_ret,kickret_yds,passing_att,passing_cmp,passing_cmp_air_yds,passing_incmp,passing_int,passing_sk,passing_sk_yds,passing_tds,passing_yds,punting_i20,punting_tot,punting_yds,puntret_fair,puntret_tot,puntret_yds,receiving_rec,receiving_tar,receiving_tds,receiving_yac_yds,receiving_yds,rushing_att,rushing_tds,rushing_yds,offense_yds,offense_tds,tot_turnovers,play_count,Wins,Losses
OAK,354,15,0,15,300,13,5,193,74,220,86,134,469,74,44,633,300,5323,197,13,11,0,76,14,1,73,90,63,38,-225,795,84,1,19,10,5,12,-11,27,3231,26,21,777,5,222,14,81,44,38,5064,53,1268,605,373,2284,232,14,33,-250,34,4129,40,83,3697,13,42,272,373,601,34,1845,4129,370,7,1455,9702,75,24,3194,7,9
PHI,399,20,6,27,339,16,8,193,110,231,91,140,448,45,26,371,339,5775,268,19,11,1,130,15,3,280,81,84,38,-281,811,77,5,15,14,1,11,-66,26,2750,26,21,771,5,209,12,81,42,37,4937,29,565,623,405,2146,218,18,37,-254,23,4341,29,86,4038,18,39,443,405,620,23,2185,4341,444,15,1740,10356,61,32,3354,7,9
PIT,413,21,3,15,331,12,4,207,91,193,75,118,410,45,25,458,331,6322,287,16,13,0,3,17,2,282,78,84,47,-339,762,86,2,10,6,0,9,0,15,2706,42,35,1234,7,316,15,94,38,31,5931,29,701,590,391,2912,199,21,33,-219,26,4817,28,59,2511,17,28,231,391,584,26,1905,4817,388,16,1724,11358,68,27,3171,10,6
SD,363,14,0,10,344,15,5,230,79,231,97,134,591,44,28,351,344,5944,206,10,9,0,1,11,1,152,62,66,32,-236,753,78,1,14,11,3,5,-5,19,2932,32,26,1017,6,293,5,76,41,31,4839,28,583,668,443,2210,225,13,40,-264,30,4856,15,72,3261,26,20,84,443,660,30,2639,4856,392,4,1357,11064,64,24,3209,4,12
SEA,331,26,0,20,335,9,8,190,128,213,99,114,503,50,27,499,335,6021,335,18,8,3,58,14,0,205,77,101,37,-285,623,71,3,8,8,1,6,-36,15,3376,31,29,1083,2,87,20,92,47,41,5930,34,868,490,333,2199,157,8,46,-271,34,4059,24,68,3093,22,42,450,333,472,34,1860,4059,501,10,2269,10351,78,16,3046,10,6
SF,366,24,6,21,261,19,9,154,83,214,65,149,397,61,29,424,261,4845,253,5,3,0,16,9,1,125,58,75,28,-206,835,64,1,13,5,3,12,-18,20,2797,27,24,848,3,114,6,63,38,20,3975,42,993,526,322,1705,204,12,53,-330,16,3646,31,92,4017,23,30,226,322,523,16,1941,3646,391,7,1544,8818,39,17,3093,5,11
STL,333,23,0,25,241,13,4,126,92,201,52,149,525,62,30,532,241,4756,334,20,13,2,103,13,1,182,72,108,41,-280,767,98,3,14,11,1,9,-16,21,2925,31,21,810,10,504,11,68,40,25,4411,35,830,473,273,1301,200,11,18,-126,11,2931,41,96,4601,15,39,296,273,468,11,1630,2931,429,16,1958,7804,38,22,3063,7,9
TB,364,17,3,12,336,13,7,201,99,201,84,117,637,65,39,558,336,5994,335,19,12,2,97,11,1,93,68,85,38,-257,783,80,3,13,13,0,13,-19,26,3209,40,29,1034,11,497,13,82,44,32,5196,21,506,535,312,2552,223,15,27,-190,22,4044,15,56,2348,14,29,291,312,525,22,1492,4044,454,12,2159,10228,56,28,3188,6,10
TEN,344,22,6,19,298,15,7,195,66,201,64,137,431,45,25,357,298,4981,295,11,8,1,3,11,1,164,57,63,39,-302,677,66,2,19,16,0,9,-16,25,3107,16,14,556,2,108,2,66,43,29,4272,33,680,552,342,2297,210,17,54,-390,25,3893,34,88,4175,17,38,307,342,544,25,1596,3893,371,10,1485,9255,60,33,2961,3,13
WAS,436,19,0,20,318,12,7,208,82,216,94,122,463,45,24,365,318,5674,370,22,15,1,30,11,1,181,58,75,38,-286,672,62,3,17,11,6,8,-8,24,3848,30,26,941,4,193,10,85,53,38,5288,40,1002,555,386,2314,169,11,27,-199,30,4294,21,70,3224,17,32,141,386,555,30,1978,4294,429,9,1582,10162,69,22,3120,9,7
